timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782220409.99","-0.73","-1.4",,,
"1782220410.001","-0.73","-1.4",,,
"1782220410.005","-0.73","-1.22",,,
"1782220410.015","-0.73","-1.22",,,
"1782220410.018",,"-1.47",,,
"1782220410.019","-0.49",,,,
"1782220410.029","-0.49","-1.47",,,
"1782220410.033",,"-1.77",,,
"1782220410.034","-0.73",,,,
"1782220410.044","-0.73","-1.77",,,
"1782220410.047","-0.55","-1.47",,,
"1782220410.058","-0.55","-1.47",,,
"1782220410.071",,"-1.53",,,
"1782220410.072","-0.67",,,,
"1782220410.076","-0.49","-1.34",,,
"1782220410.086","-0.49","-1.34",,,
"1782220410.094","-0.61","-1.53",,,
"1782220410.1","-0.61","-1.53",,,
"1782220410.104","-0.61","-1.47",,,
"1782220410.115","-0.61","-1.47",,,
"1782220410.118","-0.61","-1.4",,,
"1782220410.134","-0.73","-1.4",,,
"1782220410.145","-0.73","-1.4",,,
"1782220410.164","-0.61","-1.71",,,
"1782220410.171","-0.61","-1.71",,,
"1782220410.174","-0.61","-1.34",,,
"1782220410.186","-0.61","-1.34",,,
"1782220410.191","-0.55","-1.53",,,
"1782220410.2",,"-1.53",,,
"1782220410.201","-0.55",,,,
"1782220410.205","-0.67","-1.53",,,
"1782220410.22","-0.67","-1.53",,,
"1782220410.228","-0.73","-1.71",,,
"1782220410.236","-0.92","-1.47",,,
"1782220410.242","-0.92","-1.47",,,
"1782220410.249","-0.67","-1.28",,,
"1782220410.256","-0.67","-1.28",,,
"1782220410.262","-0.85","-1.53",,,
"1782220410.27","-0.85","-1.53",,,
"1782220410.273","-0.67","-1.59",,,
"1782220410.289","-0.67","-1.59",,,
"1782220410.298","-0.61","-1.28",,,
"1782220410.301","-0.49","-1.47",,,
"1782220410.312","-0.49","-1.47",,,
"1782220410.315","-0.61","-1.71",,,
"1782220410.326","-0.61","-1.71",,,
"1782220410.335","-0.55","-1.28",,,
"1782220410.341","-0.55","-1.28",,,
"1782220410.346","-0.67","-1.53",,,
"1782220410.355","-0.67","-1.53",,,
"1782220410.368","-0.73","-1.4",,,
"1782220410.372","-0.85","-1.28",,,
"1782220410.383","-0.85","-1.28",,,
"1782220410.388",,"-1.47",,,
"1782220410.389","-0.61",,,,
"1782220410.397","-0.61","-1.47",,,
"1782220410.406","-0.79","-1.47",,,
"1782220410.416","-0.67","-1.47",,,
"1782220410.425",,"-1.47",,,
"1782220410.426","-0.67",,,,
"1782220410.439","-0.61","-1.59",,,
"1782220410.442","-0.55","-1.53",,,
"1782220410.453","-0.55","-1.53",,,
"1782220410.458",,"-1.53",,,
"1782220410.459","-0.55",,,,
"1782220410.467",,"-1.53",,,
"1782220410.468","-0.55",,,,
"1782220410.475","-0.67","-1.34",,,
"1782220410.482","-0.67","-1.34",,,
"1782220410.486","-0.55","-1.53",,,
"1782220410.496","-0.55","-1.53",,,
"1782220410.509",,"-1.4",,,
"1782220410.51","-0.49",,,,
"1782220410.512",,"-1.47",,,
"1782220410.513","-0.73",,,,
"1782220410.524","-0.73","-1.47",,,
"1782220410.527","-0.37","-1.4",,,
"1782220410.543","-0.79","-1.4",,,
"1782220410.556","-0.73","-1.34",,,
"1782220410.569",,"-1.34",,,
"1782220410.57","-0.73",,,,
"1782220410.58","-0.73","-1.65",,,
"1782220410.583","-0.61","-1.47",,,
"1782220410.598","-0.49","-1.53",,,
"1782220410.609","-0.49","-1.53",,,
"1782220410.612","-0.61","-1.4",,,
"1782220410.623","-0.61","-1.4",,,
"1782220410.626",,"-1.53",,,
"1782220410.627","-0.67",,,,
"1782220410.639","-0.67","-1.53",,,
"1782220410.65",,"-1.47",,,
"1782220410.651","-0.61",,,,
"1782220410.655","-0.73","-1.53",,,
"1782220410.669","-0.61","-1.47",,,
"1782220410.679",,"-1.47",,,
"1782220410.68","-0.61",,,,
